Age,MaritalStatus,Occupation,Race,Sex,WeeklyHours,Income
45, Separated, ?, White, Female,10, <=50K
29, Divorced, ?, White, Female,40, <=50K
24, Never-married, Prof-specialty, White, Male,45, <=50K
30, Married-civ-spouse, Tech-support, White, Male,50, >50K
44, Married-civ-spouse, Transport-moving, Black, Male,40, <=50K
40, Married-civ-spouse, Sales, White, Male,24, <=50K
30, Never-married, Machine-op-inspct, White, Female,35, <=50K
42, Divorced, Prof-specialty, White, Female,40, <=50K
52, Divorced, Prof-specialty, White, Female,35, <=50K
42, Married-civ-spouse, Craft-repair, Black, Male,40, >50K
39, Married-civ-spouse, Craft-repair, White, Male,52, >50K
43, Divorced, Prof-specialty, White, Male,45, <=50K
62, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
30, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
83, Widowed, ?, White, Female,20, <=50K
39, Married-civ-spouse, Prof-specialty, White, Male,55, >50K
41, Married-civ-spouse, Transport-moving, White, Female,20, <=50K
49, Married-civ-spouse, Prof-specialty, White, Female,40, >50K
25, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
48, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
59, Divorced, ?, White, Male,8, <=50K
44, Never-married, Adm-clerical, White, Male,40, <=50K
36, Divorced, Handlers-cleaners, White, Male,56, <=50K
40, Never-married, Handlers-cleaners, White, Male,40, <=50K
21, Never-married, Adm-clerical, Black, Female,35, <=50K
41, Separated, Adm-clerical, White, Female,38, <=50K
24, Never-married, Exec-managerial, White, Female,50, <=50K
67, Married-civ-spouse, Farming-fishing, White, Male,60, <=50K
24, Never-married, Adm-clerical, White, Male,38, <=50K
50, Married-civ-spouse, Sales, White, Male,60, <=50K
48, Divorced, Sales, White, Male,35, <=50K
55, Married-civ-spouse, ?, Black, Male,20, >50K
29, Never-married, Machine-op-inspct, White, Male,40, <=50K
50, Divorced, Prof-specialty, White, Female,36, <=50K
64, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
49, Divorced, Other-service, Black, Male,37, <=50K
20, Never-married, Other-service, Black, Male,52, <=50K
30, Separated, Adm-clerical, White, Female,40, <=50K
37, Married-civ-spouse, Other-service, Asian-Pac-Islander, Male,30, <=50K
52, Married-civ-spouse, Machine-op-inspct, White, Male,40, >50K
22, Never-married, Protective-serv, White, Male,25, <=50K
77, Widowed, ?, White, Female,14, <=50K
19, Never-married, Adm-clerical, White, Male,15, <=50K
52, Divorced, Craft-repair, White, Male,55, >50K
42, Married-spouse-absent, Tech-support, Asian-Pac-Islander, Female,40, <=50K
35, Separated, Exec-managerial, White, Female,36, <=50K
27, Never-married, Adm-clerical, White, Female,50, <=50K
54, Never-married, Other-service, Black, Female,38, <=50K
37, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
37, Married-civ-spouse, Transport-moving, White, Male,35, <=50K
28, Married-civ-spouse, Craft-repair, White, Male,30, <=50K
63, Married-civ-spouse, Sales, White, Male,40, <=50K
19, Never-married, Machine-op-inspct, White, Male,42, <=50K
28, Never-married, Sales, White, Female,40, <=50K
23, Never-married, ?, White, Male,40, <=50K
44, Never-married, Prof-specialty, White, Female,40, >50K
31, Married-civ-spouse, Craft-repair, White, Male,40, >50K
35, Never-married, Sales, Asian-Pac-Islander, Male,50, >50K
64, Divorced, Priv-house-serv, White, Female,50, <=50K
40, Married-civ-spouse, Handlers-cleaners, White, Male,40, >50K
59, Divorced, Prof-specialty, White, Female,50, <=50K
22, Never-married, Adm-clerical, White, Female,40, <=50K
40, Never-married, Sales, White, Female,44, <=50K
35, Married-civ-spouse, Handlers-cleaners, White, Male,40, <=50K
20, Never-married, Adm-clerical, White, Female,15, <=50K
35, Never-married, Protective-serv, White, Male,40, <=50K
28, Married-civ-spouse, Exec-managerial, White, Male,48, <=50K
28, Divorced, Machine-op-inspct, White, Male,40, <=50K
37, Married-civ-spouse, ?, White, Male,20, <=50K
72, Married-civ-spouse, ?, White, Male,6, >50K
25, Never-married, Sales, White, Male,60, <=50K
37, Divorced, Adm-clerical, White, Female,40, <=50K
19, Never-married, ?, White, Female,45, <=50K
31, Divorced, Sales, White, Female,38, <=50K
41, Never-married, Adm-clerical, White, Female,40, <=50K
31, Married-civ-spouse, Tech-support, White, Male,40, >50K
44, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
20, Never-married, Exec-managerial, Black, Male,47, <=50K
57, Married-civ-spouse, Farming-fishing, White, Male,50, <=50K
26, Divorced, Other-service, White, Female,12, <=50K
44, Married-civ-spouse, Exec-managerial, White, Male,60, <=50K
29, Never-married, Protective-serv, White, Male,40, <=50K
36, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
40, Married-civ-spouse, Craft-repair, White, Male,40, >50K
21, Never-married, Other-service, Black, Male,35, <=50K
21, Never-married, Craft-repair, White, Male,70, <=50K
34, Separated, Prof-specialty, White, Male,48, >50K
24, Never-married, Exec-managerial, White, Female,15, <=50K
28, Divorced, Other-service, White, Female,40, <=50K
35, Separated, Transport-moving, White, Male,50, <=50K
35, Divorced, Craft-repair, White, Male,40, <=50K
38, Never-married, Exec-managerial, White, Female,40, <=50K
44, Divorced, Adm-clerical, Black, Female,40, <=50K
39, Married-civ-spouse, Handlers-cleaners, White, Female,40, >50K
57, Divorced, Other-service, White, Female,40, <=50K
19, Never-married, Sales, White, Female,40, <=50K
29, Married-civ-spouse, Machine-op-inspct, White, Male,48, <=50K
23, Never-married, Machine-op-inspct, Black, Male,40, <=50K
50, Widowed, Other-service, White, Female,40, <=50K
51, Married-civ-spouse, Craft-repair, White, Male,20, <=50K
28, Divorced, Craft-repair, Amer-Indian-Eskimo, Male,40, <=50K
44, Married-civ-spouse, Sales, White, Male,60, <=50K
29, Never-married, Prof-specialty, Black, Male,40, <=50K
31, Divorced, Transport-moving, White, Male,45, <=50K
27, Married-civ-spouse, Craft-repair, White, Male,45, >50K
34, Married-civ-spouse, Exec-managerial, White, Male,45, <=50K
50, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male,50, >50K
27, Married-civ-spouse, Handlers-cleaners, White, Male,40, >50K
31, Never-married, Adm-clerical, Black, Female,40, <=50K
46, Married-civ-spouse, Craft-repair, White, Male,40, >50K
39, Never-married, Adm-clerical, Asian-Pac-Islander, Female,40, <=50K
40, Married-civ-spouse, Sales, White, Male,55, >50K
28, Divorced, Sales, White, Male,40, <=50K
18, Never-married, Sales, White, Female,40, <=50K
51, Divorced, Adm-clerical, White, Female,40, <=50K
58, Divorced, Sales, White, Male,50, <=50K
66, Married-civ-spouse, Sales, White, Male,40, <=50K
36, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female,20, <=50K
38, Divorced, Handlers-cleaners, White, Female,60, <=50K
25, Never-married, Exec-managerial, White, Male,40, <=50K
25, Never-married, Other-service, White, Female,22, <=50K
90, Never-married, Handlers-cleaners, White, Male,40, <=50K
41, Divorced, Adm-clerical, White, Female,40, <=50K
34, Never-married, ?, Black, Female,40, <=50K
33, Divorced, Prof-specialty, White, Female,40, <=50K
33, Never-married, Adm-clerical, White, Female,40, <=50K
35, Married-civ-spouse, Exec-managerial, White, Male,45, >50K
39, Never-married, Craft-repair, Black, Female,20, <=50K
59, Married-civ-spouse, Sales, White, Male,60, <=50K
19, Never-married, Tech-support, White, Male,16, <=50K
39, Married-civ-spouse, Sales, White, Male,38, <=50K
19, Never-married, ?, White, Male,40, <=50K
27, Never-married, Handlers-cleaners, White, Female,40, <=50K
52, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
59, Divorced, Other-service, White, Female,24, <=50K
28, Divorced, Craft-repair, White, Female,40, <=50K
37, Divorced, Other-service, White, Female,50, <=50K
50, Married-civ-spouse, ?, White, Male,99, <=50K
36, Married-civ-spouse, Exec-managerial, White, Male,50, >50K
34, Married-civ-spouse, Prof-specialty, White, Male,60, >50K
23, Never-married, Adm-clerical, White, Male,40, <=50K
19, Never-married, ?, White, Female,30, <=50K
33, Divorced, Craft-repair, White, Male,84, <=50K
27, Never-married, Prof-specialty, White, Male,52, <=50K
31, Married-civ-spouse, Prof-specialty, White, Male,40, <=50K
21, Married-civ-spouse, Machine-op-inspct, White, Male,36, <=50K
31, Married-civ-spouse, Exec-managerial, White, Male,54, <=50K
59, Married-civ-spouse, Handlers-cleaners, White, Male,40, >50K
40, Married-civ-spouse, Prof-specialty, White, Male,48, >50K
19, Never-married, Handlers-cleaners, White, Male,40, <=50K
47, Married-civ-spouse, Transport-moving, White, Male,50, <=50K
34, Never-married, Craft-repair, White, Male,40, <=50K
57, Married-civ-spouse, Other-service, White, Male,78, <=50K
51, Married-civ-spouse, Transport-moving, Black, Male,40, <=50K
21, Never-married, Handlers-cleaners, White, Male,20, <=50K
30, Married-civ-spouse, Sales, White, Male,50, <=50K
46, Divorced, Handlers-cleaners, White, Male,45, <=50K
40, Never-married, Sales, White, Female,45, <=50K
52, Married-civ-spouse, Other-service, White, Male,40, <=50K
23, Never-married, Sales, Asian-Pac-Islander, Male,50, <=50K
90, Widowed, ?, White, Female,10, <=50K
25, Never-married, Adm-clerical, White, Female,50, <=50K
43, Divorced, Transport-moving, White, Male,45, <=50K
38, Divorced, Protective-serv, Amer-Indian-Eskimo, Female,40, >50K
22, Never-married, Other-service, White, Female,30, <=50K
33, Never-married, Adm-clerical, White, Female,40, <=50K
34, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
65, Married-civ-spouse, Transport-moving, White, Male,20, <=50K
50, Never-married, Tech-support, White, Male,15, <=50K
29, Never-married, Sales, White, Male,48, <=50K
25, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
54, Divorced, Adm-clerical, White, Female,40, <=50K
49, Married-civ-spouse, Adm-clerical, White, Male,40, >50K
44, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
24, Divorced, Other-service, White, Female,40, <=50K
25, Never-married, Sales, White, Male,38, <=50K
65, Married-civ-spouse, Transport-moving, White, Male,20, <=50K
56, Married-civ-spouse, Exec-managerial, Black, Male,45, <=50K
39, Married-civ-spouse, Prof-specialty, White, Male,60, >50K
23, Never-married, Prof-specialty, White, Female,40, <=50K
20, Never-married, Other-service, White, Female,20, <=50K
24, Never-married, Craft-repair, White, Male,40, <=50K
41, Married-civ-spouse, Exec-managerial, White, Male,50, >50K
40, Married-civ-spouse, Farming-fishing, White, Male,50, <=50K
55, Married-civ-spouse, Craft-repair, White, Male,50, >50K
38, Divorced, Adm-clerical, White, Female,48, <=50K
23, Never-married, Adm-clerical, Black, Female,40, <=50K
44, Married-civ-spouse, Exec-managerial, White, Male,50, <=50K
45, Married-civ-spouse, Craft-repair, White, Male,40, >50K
20, Never-married, Adm-clerical, White, Female,12, <=50K
29, Never-married, Other-service, White, Male,40, <=50K
43, Married-civ-spouse, Protective-serv, White, Male,40, <=50K
30, Divorced, Machine-op-inspct, White, Male,40, <=50K
28, Never-married, Adm-clerical, White, Female,38, <=50K
31, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
52, Divorced, Craft-repair, White, Female,40, <=50K
36, Married-civ-spouse, Prof-specialty, White, Female,50, >50K
38, Married-civ-spouse, Craft-repair, White, Male,45, <=50K
66, Married-civ-spouse, ?, White, Male,40, <=50K
63, Married-civ-spouse, Farming-fishing, White, Male,40, <=50K
21, Never-married, Other-service, White, Male,35, <=50K
33, Divorced, Adm-clerical, White, Male,40, <=50K
46, Divorced, Prof-specialty, White, Female,50, <=50K
20, Never-married, ?, White, Male,20, <=50K
47, Never-married, Sales, White, Male,60, <=50K
33, Married-civ-spouse, Prof-specialty, White, Male,55, >50K
66, Never-married, ?, Black, Male,30, <=50K
20, Never-married, Adm-clerical, White, Female,30, <=50K
28, Divorced, Handlers-cleaners, White, Male,40, <=50K
46, Divorced, Priv-house-serv, White, Female,28, <=50K
25, Married-civ-spouse, Sales, Black, Male,45, <=50K
37, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
31, Married-civ-spouse, Craft-repair, White, Male,60, <=50K
49, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
22, Married-spouse-absent, Tech-support, White, Male,20, <=50K
52, Married-civ-spouse, Other-service, White, Female,20, >50K
29, Married-civ-spouse, Exec-managerial, White, Female,50, <=50K
18, Never-married, Other-service, White, Female,20, <=50K
31, Married-civ-spouse, Exec-managerial, White, Male,35, <=50K
23, Never-married, Other-service, Asian-Pac-Islander, Female,35, <=50K
27, Married-civ-spouse, ?, Amer-Indian-Eskimo, Female,40, >50K
54, Married-civ-spouse, Sales, White, Male,65, <=50K
50, Divorced, Other-service, White, Female,49, <=50K
46, Married-civ-spouse, Tech-support, White, Male,40, >50K
24, Never-married, Farming-fishing, White, Female,40, <=50K
17, Never-married, ?, White, Female,18, <=50K
49, Separated, Other-service, White, Male,45, <=50K
54, Married-civ-spouse, Craft-repair, White, Male,40, >50K
41, Married-civ-spouse, Exec-managerial, White, Male,60, >50K
49, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
36, Never-married, Prof-specialty, White, Female,35, <=50K
23, Never-married, Transport-moving, Black, Male,40, <=50K
63, Widowed, Other-service, White, Female,40, <=50K
67, Married-civ-spouse, Sales, White, Male,40, >50K
23, Never-married, Craft-repair, White, Male,40, <=50K
22, Never-married, Prof-specialty, White, Male,40, <=50K
66, Married-civ-spouse, Adm-clerical, White, Male,30, <=50K
25, Married-civ-spouse, Craft-repair, White, Male,50, <=50K
30, Divorced, Machine-op-inspct, White, Female,20, <=50K
35, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
67, Married-civ-spouse, Exec-managerial, White, Male,40, <=50K
30, Never-married, Craft-repair, Black, Male,40, <=50K
26, Never-married, Machine-op-inspct, Black, Female,38, <=50K
34, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
21, Never-married, Sales, White, Male,40, <=50K
18, Never-married, Craft-repair, White, Male,10, <=50K
21, Never-married, Craft-repair, White, Male,40, <=50K
76, Married-civ-spouse, Prof-specialty, White, Male,40, <=50K
51, Married-civ-spouse, Protective-serv, Asian-Pac-Islander, Male,70, <=50K
26, Married-civ-spouse, Machine-op-inspct, White, Female,56, <=50K
18, Never-married, Other-service, White, Female,25, <=50K
18, Never-married, ?, White, Male,40, <=50K
34, Married-civ-spouse, Machine-op-inspct, White, Male,50, <=50K
59, Divorced, Exec-managerial, White, Female,40, <=50K
55, Separated, Exec-managerial, White, Male,45, >50K
33, Never-married, Farming-fishing, White, Male,72, <=50K
25, Never-married, Other-service, White, Female,10, <=50K
48, Widowed, Machine-op-inspct, White, Female,10, <=50K
64, Divorced, Sales, White, Female,5, <=50K
47, Never-married, Prof-specialty, White, Female,45, >50K
26, Never-married, Tech-support, White, Female,40, <=50K
36, Married-civ-spouse, Prof-specialty, White, Male,48, >50K
21, Married-civ-spouse, Farming-fishing, White, Male,40, <=50K
54, Never-married, ?, White, Female,25, <=50K
30, Never-married, Machine-op-inspct, White, Male,44, <=50K
41, Divorced, Craft-repair, White, Male,40, <=50K
53, Never-married, ?, White, Female,35, >50K
34, Never-married, Sales, Black, Male,30, <=50K
20, Never-married, ?, White, Female,35, <=50K
24, Never-married, Sales, White, Male,49, <=50K
26, Never-married, Prof-specialty, White, Female,20, <=50K
25, Never-married, Adm-clerical, White, Female,48, <=50K
35, Divorced, Sales, White, Female,36, <=50K
41, Divorced, Craft-repair, White, Male,40, >50K
33, Never-married, Craft-repair, White, Male,40, <=50K
18, Never-married, Other-service, White, Female,25, <=50K
27, Separated, Adm-clerical, White, Male,38, <=50K
32, Divorced, Other-service, White, Female,35, <=50K
51, Never-married, Other-service, Black, Male,40, <=50K
38, Divorced, Adm-clerical, Black, Female,40, <=50K
41, Married-civ-spouse, Transport-moving, White, Female,25, <=50K
26, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
38, Divorced, Exec-managerial, White, Male,35, <=50K
54, Married-civ-spouse, Exec-managerial, White, Male,45, >50K
30, Never-married, Prof-specialty, White, Female,60, <=50K
31, Widowed, Exec-managerial, White, Female,30, <=50K
26, Never-married, Prof-specialty, White, Male,40, <=50K
75, Married-civ-spouse, Prof-specialty, White, Male,3, <=50K
29, Never-married, Transport-moving, Black, Male,40, <=50K
61, Married-civ-spouse, Exec-managerial, White, Male,50, >50K
24, Separated, Sales, White, Female,45, <=50K
22, Never-married, ?, White, Male,30, <=50K
34, Never-married, Prof-specialty, White, Male,40, <=50K
42, Divorced, Craft-repair, White, Male,40, <=50K
24, Never-married, Craft-repair, White, Male,40, <=50K
42, Married-civ-spouse, Sales, White, Male,40, <=50K
27, Never-married, Craft-repair, Black, Male,40, <=50K
39, Married-civ-spouse, Prof-specialty, White, Female,50, >50K
20, Never-married, Handlers-cleaners, White, Male,40, <=50K
51, Never-married, Other-service, Black, Female,40, <=50K
68, Married-civ-spouse, Sales, White, Male,30, <=50K
28, Never-married, Machine-op-inspct, White, Male,48, <=50K
43, Divorced, Tech-support, White, Female,40, <=50K
35, Married-spouse-absent, Craft-repair, White, Male,40, <=50K
44, Divorced, Adm-clerical, Black, Female,40, <=50K
41, Never-married, Handlers-cleaners, White, Male,40, <=50K
44, Married-civ-spouse, Tech-support, White, Male,45, >50K
20, Married-civ-spouse, Adm-clerical, White, Female,40, <=50K
46, Married-civ-spouse, Craft-repair, White, Male,75, >50K
27, Married-civ-spouse, Transport-moving, White, Male,70, >50K
32, Never-married, Other-service, White, Male,50, <=50K
46, Divorced, Sales, White, Male,50, <=50K
26, Never-married, Other-service, White, Male,24, <=50K
20, Never-married, Adm-clerical, Asian-Pac-Islander, Female,40, <=50K
36, Married-civ-spouse, Farming-fishing, White, Female,40, <=50K
49, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
32, Married-civ-spouse, Exec-managerial, White, Male,55, >50K
32, Married-civ-spouse, Prof-specialty, White, Male,50, >50K
49, Married-civ-spouse, Craft-repair, White, Male,40, >50K
36, Never-married, Transport-moving, White, Male,45, <=50K
22, Never-married, Other-service, White, Male,25, <=50K
52, Divorced, Adm-clerical, White, Female,40, <=50K
42, Married-civ-spouse, Exec-managerial, White, Male,50, >50K
22, Never-married, ?, White, Male,40, <=50K
72, Widowed, Other-service, White, Female,16, <=50K
30, Separated, Prof-specialty, White, Female,40, <=50K
44, Married-civ-spouse, Handlers-cleaners, White, Male,40, <=50K
23, Never-married, Sales, White, Female,45, <=50K
22, Never-married, Sales, White, Male,20, <=50K
59, Separated, Adm-clerical, White, Male,60, <=50K
46, Divorced, Prof-specialty, White, Female,40, <=50K
30, Married-civ-spouse, Handlers-cleaners, White, Male,40, <=50K
64, Widowed, Other-service, White, Female,30, <=50K
31, Married-civ-spouse, Sales, Black, Female,40, <=50K
64, Married-civ-spouse, Other-service, White, Male,20, <=50K
45, Never-married, Machine-op-inspct, White, Female,40, <=50K
59, Married-civ-spouse, Machine-op-inspct, White, Male,40, >50K
32, Never-married, Adm-clerical, Black, Female,40, <=50K
43, Married-civ-spouse, Machine-op-inspct, Amer-Indian-Eskimo, Male,40, <=50K
66, Divorced, ?, White, Female,20, <=50K
23, Never-married, Sales, White, Male,45, <=50K
49, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
32, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
49, Never-married, Exec-managerial, White, Female,40, <=50K
33, Divorced, Prof-specialty, White, Male,40, <=50K
28, Never-married, Prof-specialty, White, Female,85, <=50K
47, Married-civ-spouse, Sales, Black, Male,40, <=50K
41, Never-married, Other-service, White, Male,40, <=50K
34, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
25, Never-married, Other-service, White, Female,35, <=50K
20, Never-married, ?, White, Female,40, <=50K
21, Never-married, Sales, White, Female,15, <=50K
25, Never-married, Farming-fishing, White, Male,30, <=50K
46, Married-civ-spouse, Other-service, White, Male,40, <=50K
37, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male,40, <=50K
41, Married-civ-spouse, Craft-repair, White, Male,56, >50K
44, Never-married, Adm-clerical, White, Male,50, <=50K
30, Married-civ-spouse, Tech-support, White, Male,40, >50K
54, Married-civ-spouse, Machine-op-inspct, White, Male,40, <=50K
35, Married-civ-spouse, Farming-fishing, White, Male,99, <=50K
58, Widowed, ?, White, Female,12, <=50K
21, Never-married, Tech-support, White, Female,25, <=50K
35, Married-civ-spouse, Sales, White, Male,40, >50K
35, Married-civ-spouse, Prof-specialty, White, Male,80, >50K
19, Never-married, Craft-repair, White, Male,20, <=50K
48, Divorced, Exec-managerial, White, Female,40, <=50K
56, Married-civ-spouse, ?, White, Male,40, <=50K
65, Widowed, Craft-repair, White, Female,35, <=50K
40, Separated, Adm-clerical, Black, Male,35, <=50K
26, Never-married, Adm-clerical, White, Female,40, <=50K
45, Married-civ-spouse, Exec-managerial, White, Male,40, <=50K
26, Never-married, Craft-repair, White, Male,40, <=50K
32, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
35, Divorced, Exec-managerial, White, Male,50, >50K
22, Never-married, Craft-repair, White, Male,48, <=50K
37, Separated, Prof-specialty, White, Female,38, <=50K
25, Never-married, Craft-repair, White, Male,40, <=50K
64, Married-civ-spouse, Transport-moving, White, Male,53, <=50K
46, Married-civ-spouse, Exec-managerial, White, Male,48, >50K
30, Never-married, Handlers-cleaners, White, Male,27, <=50K
63, Divorced, Exec-managerial, White, Male,40, >50K
51, Married-civ-spouse, Protective-serv, White, Male,40, >50K
68, Married-civ-spouse, Exec-managerial, White, Male,16, <=50K
36, Married-civ-spouse, Prof-specialty, White, Male,50, <=50K
28, Never-married, Exec-managerial, White, Male,50, <=50K
41, Married-civ-spouse, Sales, White, Male,40, <=50K
47, Married-civ-spouse, Prof-specialty, White, Male,40, <=50K
22, Never-married, Other-service, Black, Female,30, <=50K
33, Never-married, ?, Asian-Pac-Islander, Male,80, <=50K
34, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
46, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
28, Married-spouse-absent, Adm-clerical, White, Female,40, <=50K
36, Married-civ-spouse, Craft-repair, White, Male,52, >50K
18, Never-married, Sales, White, Female,20, <=50K
33, Married-civ-spouse, Prof-specialty, White, Male,50, >50K
51, Married-civ-spouse, Transport-moving, White, Male,60, >50K
56, Married-civ-spouse, Exec-managerial, White, Male,35, <=50K
54, Never-married, Adm-clerical, White, Female,40, <=50K
29, Never-married, Exec-managerial, Black, Female,40, <=50K
40, Divorced, Handlers-cleaners, Amer-Indian-Eskimo, Female,84, <=50K
53, Married-civ-spouse, Exec-managerial, White, Male,65, >50K
22, Never-married, Handlers-cleaners, White, Male,35, <=50K
33, Married-civ-spouse, Machine-op-inspct, White, Male,40, >50K
28, Divorced, Transport-moving, White, Male,50, <=50K
63, Married-civ-spouse, Prof-specialty, White, Female,12, <=50K
53, Married-civ-spouse, Prof-specialty, White, Male,60, >50K
37, Married-civ-spouse, Craft-repair, White, Male,50, <=50K
50, Divorced, Exec-managerial, White, Male,40, <=50K
22, Never-married, Craft-repair, White, Male,40, <=50K
40, Never-married, Adm-clerical, White, Female,40, <=50K
22, Never-married, Prof-specialty, White, Female,40, >50K
21, Never-married, Prof-specialty, White, Male,40, <=50K
25, Married-civ-spouse, Handlers-cleaners, Black, Male,40, <=50K
20, Never-married, Craft-repair, White, Female,40, <=50K
43, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
29, Never-married, Exec-managerial, White, Female,50, <=50K
32, Married-civ-spouse, Sales, White, Male,40, >50K
42, Married-civ-spouse, Sales, White, Male,50, >50K
33, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male,40, <=50K
27, Married-civ-spouse, Exec-managerial, White, Female,40, >50K
22, Never-married, ?, White, Female,40, <=50K
29, Married-civ-spouse, Machine-op-inspct, White, Male,38, <=50K
29, Married-civ-spouse, Transport-moving, White, Male,40, <=50K
20, Never-married, Exec-managerial, White, Female,20, <=50K
35, Never-married, Adm-clerical, White, Male,40, <=50K
31, Married-civ-spouse, Prof-specialty, White, Male,50, >50K
33, Never-married, Craft-repair, White, Male,50, <=50K
67, Married-civ-spouse, Exec-managerial, White, Male,40, <=50K
46, Married-civ-spouse, Prof-specialty, White, Male,10, <=50K
45, Married-civ-spouse, Machine-op-inspct, White, Female,40, >50K
17, Never-married, Sales, White, Male,20, <=50K
35, Married-civ-spouse, Exec-managerial, White, Male,70, >50K
48, Married-spouse-absent, Exec-managerial, Black, Male,40, >50K
49, Divorced, Machine-op-inspct, Black, Female,40, <=50K
20, Never-married, Sales, White, Female,40, <=50K
27, Married-civ-spouse, Machine-op-inspct, White, Male,46, <=50K
64, Married-civ-spouse, Craft-repair, White, Male,20, <=50K
53, Separated, Craft-repair, Black, Male,40, <=50K
52, Divorced, Adm-clerical, White, Female,40, <=50K
29, Married-civ-spouse, Craft-repair, White, Male,55, <=50K
32, Married-civ-spouse, Craft-repair, White, Male,40, >50K
48, Married-civ-spouse, Prof-specialty, White, Female,20, >50K
30, Never-married, Craft-repair, White, Male,40, <=50K
34, Married-civ-spouse, Other-service, White, Male,20, <=50K
19, Never-married, ?, White, Male,50, <=50K
39, Never-married, Prof-specialty, White, Male,50, <=50K
28, Never-married, Handlers-cleaners, White, Male,40, <=50K
17, Never-married, Sales, White, Female,10, <=50K
54, Never-married, Prof-specialty, White, Female,50, <=50K
24, Never-married, Sales, White, Male,40, <=50K
25, Never-married, Exec-managerial, White, Female,40, <=50K
25, Divorced, Other-service, White, Female,12, <=50K
48, Married-civ-spouse, Exec-managerial, White, Female,40, >50K
24, Never-married, Sales, White, Female,40, <=50K
31, Married-civ-spouse, Sales, Asian-Pac-Islander, Male,50, <=50K
47, Married-civ-spouse, Craft-repair, White, Male,40, >50K
45, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
19, Never-married, Adm-clerical, White, Female,25, <=50K
52, Married-civ-spouse, Sales, White, Male,50, >50K
52, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
19, Never-married, ?, Asian-Pac-Islander, Female,12, <=50K
60, Married-civ-spouse, Transport-moving, White, Male,28, <=50K
43, Married-civ-spouse, Prof-specialty, White, Male,50, >50K
24, Divorced, Other-service, White, Female,30, <=50K
20, Never-married, ?, White, Female,40, <=50K
51, Never-married, Adm-clerical, White, Female,40, <=50K
38, Divorced, Craft-repair, White, Male,40, <=50K
21, Never-married, Adm-clerical, White, Female,10, <=50K
40, Married-civ-spouse, Adm-clerical, White, Male,50, >50K
54, Widowed, Exec-managerial, White, Female,40, <=50K
35, Never-married, Other-service, White, Male,50, <=50K
52, Separated, Machine-op-inspct, Black, Male,40, <=50K
53, Married-civ-spouse, Exec-managerial, White, Male,40, >50K
56, Widowed, ?, Black, Female,40, <=50K
35, Divorced, Craft-repair, Black, Male,40, <=50K
43, Divorced, Sales, White, Female,42, <=50K
29, Married-civ-spouse, Craft-repair, White, Male,40, <=50K
29, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male,65, <=50K
27, Never-married, Other-service, White, Female,40, <=50K
58, Married-civ-spouse, Adm-clerical, White, Male,40, <=50K
64, Married-civ-spouse, Handlers-cleaners, White, Male,18, <=50K
53, Married-civ-spouse, Adm-clerical, Black, Female,32, <=50K
21, Never-married, Adm-clerical, White, Female,30, <=50K
40, Divorced, Exec-managerial, White, Male,30, <=50K
52, Married-civ-spouse, Prof-specialty, White, Male,40, >50K
38, Never-married, Tech-support, White, Male,50, <=50K
40, Divorced, ?, White, Female,30, <=50K
39, Married-civ-spouse, Exec-managerial, White, Male,40, <=50K
56, Never-married, ?, White, Female,50, >50K
68, Married-civ-spouse, Prof-specialty, White, Male,55, >50K
24, Never-married, Sales, White, Male,38, <=50K
40, Married-civ-spouse, Prof-specialty, White, Male,50, >50K
43, Married-civ-spouse, Prof-specialty, Black, Male,99, >50K
38, Never-married, Exec-managerial, White, Female,70, <=50K
